id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
1TcIqRi8N0Pt3DNiZOyowt,Finding Myself,Purrple Cat,0.869,0.72,0.142,0.272,0.93,0.0325,119.977,-16.18,1,1,152260,4
0tFzjArZ5BRVOQ5fZ7d3xZ,Strange Fog,Purrple Cat,0.897,0.744,0.309,0.0949,0.893,0.0285,110.982,-17.833,1,8,165546,3
5AP8tN42iArkv2l6fUA6Jt,Carousel,Purrple Cat,0.294,0.65,0.501,0.258,0.958,0.0299,133.06,-12.714,0,4,132632,4
1UE8Qm9a2tkPwhE811pSLo,Wonderment,Purrple Cat,0.587,0.703,0.291,0.359,0.767,0.0358,106.027,-14.694,1,5,181722,4
7pSqvZHym4vA10geSitbV0,Seashells,Purrple Cat,0.824,0.632,0.106,0.184,0.943,0.0367,89.962,-16.93,0,9,178847,4
6QsMXYJ1jZIpEhszhXyiKU,Sad Ending,Purrple Cat,0.899,0.691,0.435,0.258,0.916,0.0451,109.982,-12.545,0,11,150551,4
3p5rIHkjKKcs4TsEtgSYjr,Bloom,Purrple Cat,0.927,0.751,0.155,0.0392,0.928,0.0335,119.982,-17.325,1,0,151010,4
1ZcGRZ6wSKuz873a5gNIf3,Tunnels,Purrple Cat,0.769,0.801,0.345,0.0596,0.934,0.0422,127.966,-12.525,0,7,164365,4
3gtm9mn9ALDY18ZZY1c9Cd,Sea Foam,Purrple Cat,0.441,0.6,0.346,0.317,0.854,0.0304,165.044,-15.089,0,4,185523,3
6lQDNyxHrdmlb9bT8TNNMn,Moonwinds,Purrple Cat,0.93,0.536,0.257,0.0477,0.895,0.034,74.996,-13.146,1,8,155258,4
30g6Ucp21XeOCAeLWJoMqY,Spring Showers,Purrple Cat,0.955,0.618,0.111,0.13,0.894,0.0436,119.996,-16.018,1,3,182010,4
76LzDHu5IGve94eRuPvOQo,Puddle Jumping,Purrple Cat,0.743,0.775,0.108,0.582,0.923,0.0429,112.021,-15.153,1,5,188862,4
2UGEA03p9qv98oYqOcFnhf,Sweater Weather,Purrple Cat,0.344,0.739,0.336,0.638,0.835,0.0499,146.049,-12.275,0,9,118536,4
5yGKugFS9ThvZodVf7aqC4,Feelin' Fresh,Purrple Cat,0.698,0.912,0.612,0.72,0.949,0.0823,124.998,-14.707,0,9,149265,4
3I4McSIxEDqCuooecK8n9U,Golden Hour,Purrple Cat,0.454,0.524,0.308,0.253,0.851,0.0295,82.026,-14.82,1,8,194703,4
4cp3iTVFKgh5qdyVFU5IwP,Starlit Beach,Purrple Cat,0.819,0.708,0.217,0.12,0.909,0.0335,130.002,-15.165,1,0,173837,3
59XW55qs3RHAXuwGZvnz6j,Cardboard Box Adventure,Purrple Cat,0.676,0.803,0.242,0.0717,0.932,0.042,114.924,-14.995,0,5,158880,3
5MViK3ZpvqjksJ4tpsjMT0,Hibiscus,Purrple Cat,0.517,0.791,0.341,0.364,0.826,0.0409,132.026,-13.86,1,0,146856,4
5I9s2sYc6N62p6WVhSvKk9,Saturday Morning,Purrple Cat,0.755,0.77,0.348,0.28,0.954,0.0626,110.024,-13.801,0,9,108006,4
0ZRRqJcdRQOMJ6DkrkBaQf,Entering the Dream World,Purrple Cat,0.874,0.704,0.19,0.249,0.811,0.039,88.976,-17.837,1,0,156419,4
6RP8ZbzVIPRW3vzuFL5jTw,Warp Speed,Purrple Cat,0.715,0.765,0.397,0.0385,0.897,0.0335,115.991,-14.388,0,4,157295,4
1fJekfTmgReENkMrbdQlPB,Mirage,Purrple Cat,0.881,0.546,0.362,0.0584,0.911,0.0546,150.094,-12.914,1,0,169050,3
2XCEQrxg8YVsZU4Yy8yjO6,Cold Pizza,Purrple Cat,0.87,0.751,0.141,0.251,0.834,0.0381,120.076,-15.063,0,9,184510,4
4IAVOV1UkqiX8nmMQXSKrN,Rocky Shores,Purrple Cat,0.467,0.691,0.205,0.0393,0.957,0.0339,118.013,-15.299,0,0,137553,4
01O1MdGUQp6tmHxp6zQoHl,Passing Time,Purrple Cat,0.746,0.514,0.349,0.0376,0.911,0.0463,180.067,-13.099,0,5,165569,4
1r3CfwEO1FsWrIlgxDBaUE,Dark Forest,Purrple Cat,0.53,0.83,0.28,0.0991,0.821,0.0382,117.971,-14.306,0,7,134767,4
16aIlaDUm4TuRVjEFgOc0g,Under the Canopy,Purrple Cat,0.538,0.743,0.24,0.0915,0.896,0.0335,121.989,-16.865,1,0,200973,4
4GD6BmUfGdFQe5v5Mf3W6P,Deja Vu,Purrple Cat,0.851,0.681,0.325,0.0853,0.851,0.0269,127.965,-12.435,0,9,212178,4
4Xn59Oh8kD559NLyf5ywC4,Just Relax,Purrple Cat,0.858,0.582,0.331,0.213,0.784,0.0266,99.985,-11.254,1,2,212763,4
1GHSG7ZC73jiB1YLdht9gD,Sometimes I Feel Like I'm Stuck in Limbo,Purrple Cat,0.945,0.709,0.166,0.454,0.923,0.0547,107.996,-18.283,0,9,180017,4
07ETL6nolrhTB4szAe5gjc,Distant Ships,Purrple Cat,0.235,0.724,0.408,0.194,0.9,0.034,122.01,-12.357,1,0,175379,4
5VtS7LGk0TTKBwRtpMmqWM,Box of Kittens,Purrple Cat,0.797,0.376,0.251,0.408,0.886,0.178,169.351,-15.613,1,0,197406,5
0GHAm8ojJN7zAOI7nUzuLr,Balloon,Purrple Cat,0.939,0.508,0.125,0.275,0.858,0.0506,110.08,-14.797,1,3,195284,4
1NfcO3QeZquEzs6pRvSqu0,Earl Grey,Purrple Cat,0.794,0.703,0.214,0.327,0.92,0.0386,120.032,-15.026,1,0,183531,4
2SbLKBpzd6MB6Z2Xzz0kVq,Bird Watching,Purrple Cat,0.855,0.609,0.245,0.145,0.891,0.0339,110.044,-18.857,0,1,163068,4
4nm7BM0Rh2mABKytT5SIxm,"Goodbye, I Hope We Meet Again",Purrple Cat,0.809,0.433,0.138,0.447,0.684,0.386,175.167,-21.037,0,9,201438,4
3Lrypya5Klq6ImlJt55oAp,Undertow,Purrple Cat,0.707,0.676,0.414,0.0766,0.87,0.0388,146.012,-14.461,0,10,204110,4
6l1oWgzjf4amLursy1WIA0,Frolic,Purrple Cat,0.67,0.828,0.489,0.494,0.91,0.0348,130.054,-13.334,1,0,162923,4
6OaHMXpbZxb7fUOrtHNQTz,Out There,Purrple Cat,0.847,0.649,0.286,0.236,0.907,0.0344,130.024,-14.191,0,9,160654,4
300JNbNYXy42i0gaSIawJQ,Wish You Were Here,Purrple Cat,0.73,0.755,0.181,0.11,0.913,0.0594,130.086,-14.284,0,5,166163,4
2nhFwPcTGy5dqSNznD7tzm,Sunken Secrets,Purrple Cat,0.403,0.737,0.226,0.366,0.863,0.0369,123.983,-14.885,0,6,174486,4
2Ruy5Jom7v0FZLAFsUEi1e,Cool Breeze,Purrple Cat,0.625,0.564,0.196,0.107,0.942,0.0331,140.003,-17.24,1,5,140634,4
1BjhtCJu9dUyC0jdVasoAO,Flying,Purrple Cat,0.863,0.672,0.145,0.0712,0.901,0.031,110.011,-11.672,1,0,178943,4
1oCXINQcM3xGMigC0CSJ4Q,Goosebumps,Purrple Cat,0.416,0.651,0.346,0.254,0.918,0.0299,153.053,-12.828,1,8,193529,3
1vWA9GhgzCe2GI7D3ZUTkL,"Melting Snow, Growing Leaves, and the Sound of Spring",kretzschクレツ,0.648,0.677,0.147,0.178,0.895,0.0326,77.024,-14.59,1,0,118872,4
4rfE7mNI2PoUOm5l1hwpgr,Field of Fireflies,Purrple Cat,0.901,0.934,0.204,0.535,0.945,0.0665,112.004,-12.903,1,11,161295,4
34dVhpwvig4qQibDHkytR3,Wanted,Purrple Cat,0.838,0.771,0.321,0.454,0.931,0.0424,126.027,-13.925,1,11,216677,4
5t8erPk9BABy1aCpNcgqVM,Verdant,Purrple Cat,0.55,0.675,0.248,0.118,0.831,0.0334,118.036,-12.859,1,8,199629,4
2nSFO1DRUoxwfbGqtRXj0S,Sandstorm,Purrple Cat,0.505,0.725,0.234,0.366,0.884,0.0476,131.994,-17.006,0,4,142377,4
41IF2s8wuTC4oBXvGnsL7g,Breathtaking,Purrple Cat,0.426,0.575,0.184,0.209,0.93,0.0336,180.124,-15.392,0,9,192174,4
1O6GOfWzFxfpuO35AoNKm4,Desert Rain,Purrple Cat,0.864,0.737,0.28,0.546,0.921,0.0352,114.018,-16.865,1,10,177116,4
4nc89BOzMBcfKQMmCeRdo4,Sunlit Shore,Purrple Cat,0.82,0.575,0.47,0.125,0.715,0.0304,102.069,-12.403,0,7,132923,4
5PooEiLEIHce6SXt3Ry4Et,Stranded,Purrple Cat,0.806,0.727,0.136,0.0696,0.857,0.0463,114.021,-15.448,1,1,216064,4
0Rds5kJwjzqQryIoevLUCt,Take Me With You,Purrple Cat,0.787,0.665,0.221,0.0392,0.914,0.0285,104.004,-15.385,0,10,203666,4
1fZ5ktlwGk7qqDoRhQCOT2,Crossroads,Purrple Cat,0.766,0.622,0.387,0.156,0.836,0.0308,140.062,-12.339,0,2,178527,4
46fhY6emV5NCRQos1hCh7u,Butterfly,Purrple Cat,0.779,0.574,0.424,0.141,0.887,0.0576,149.918,-14.045,1,7,155233,4
0d1riGA1IuQOoXcYrarUzS,The Golden Ratio,Purrple Cat,0.872,0.703,0.376,0.842,0.919,0.0948,170.024,-18.305,1,0,95301,3
1Nr0WM0ltHIQIsquZCwcJV,Brain Fog,Purrple Cat,0.812,0.431,0.117,0.354,0.834,0.0477,99.777,-16.774,0,9,138606,4
2KbDtMI9TJgQ0gV6yT22Vl,The Portal,Purrple Cat,0.798,0.654,0.334,0.284,0.851,0.0271,130.044,-13.053,1,7,173587,4
