id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
7eQ5IhTiFa9ShvBHXjIvW7,dreamy mood,Lowfi,0.802,0.829,0.433,0.316,0.832,0.114,119.085,-10.485,0,6,130084,4
0Vu0HRx2HFlo2O6uTa0g7j,Summer Haze,Lowfi,0.182,0.628,0.646,0.177,0.861,0.0586,80.12,-10.294,0,1,157219,4
6KBMlWC7eW1hymUiCPLcms,inner warmth,ddc.,0.157,0.498,0.292,0.13,0.799,0.0304,137.985,-15.497,1,0,166231,4
5y2YUFbTBDEU1Uw4YpMfum,feelin warm,fleece,0.816,0.622,0.212,0.227,0.637,0.03,63.998,-16.649,1,3,139743,4
5tvLJ4p7UkBwbHsvGJ0uJ6,last light,ddc.,0.726,0.659,0.0607,0.0507,0.807,0.0362,119.99,-22.928,1,7,161137,4
0JkgMrsX5Du4u6nxuuRMx0,cozy sunday,Amo,0.914,0.494,0.407,0.0612,0.931,0.0486,78.302,-14.791,1,0,160000,4
7KKHClKwDWW83tbQlOJTPX,temple,ddc.,0.251,0.673,0.202,0.495,0.873,0.0312,120.011,-17.48,0,11,153078,4
6tTB47Ip5x2F3T67eT4Fob,breath of forest,ddc.,0.55,0.644,0.303,0.19,0.922,0.0282,133.991,-17.099,1,1,157675,4
59SuxLuOSGZiXzVc2ws0aO,counting stars,fleece,0.973,0.696,0.0656,0.148,0.923,0.0516,132.081,-23.432,1,11,162783,4
1jwBDaW8eKIARxYCHgd7V2,night walk,ddc.,0.806,0.683,0.409,0.0767,0.902,0.0449,138.023,-13.572,1,7,143740,4
0kk3XdkhBy3aMoVuOyTxT8,daydream,ddc.,0.63,0.497,0.127,0.0931,0.832,0.0309,95.979,-22.196,1,7,158447,4
2hxoVehqnz3uRPjaaDQVwR,morning tea,Amo,0.583,0.672,0.167,0.466,0.877,0.0627,78.008,-15.69,1,0,140192,4
13EWeNayD0297cEvqgepGV,quiet city,ddc.,0.844,0.692,0.129,0.0719,0.793,0.0401,119.928,-16.207,0,5,146901,4
5YR1ZVw6pHqpqHg9d3By4U,afternoon flutter,Amo,0.685,0.298,0.349,0.0566,0.846,0.0504,184.939,-11.037,0,7,137661,3
120q15pd8jlPBB6USoF57x,long road,ddc.,0.885,0.648,0.29,0.137,0.9,0.0633,79.967,-16.268,1,3,171064,4
4MZruBN3uvRh7khypNpT0d,coffee time,Amo,0.78,0.399,0.306,0.057,0.877,0.0435,125.341,-13.278,0,9,143358,4
3l6jmw4qBPWFcqfRlBGLb3,cool winds,sogni,0.834,0.54,0.117,0.0694,0.848,0.0341,140.118,-25.863,1,4,183786,4
2L5O31Nasxe0cTa7nZJXWI,back to home,sogni,0.929,0.702,0.185,0.485,0.919,0.0462,120.039,-16.4,1,1,118401,4
37T2Dgw3lhnBKt8SAYPtdZ,back to home,ddc.,0.425,0.633,0.418,0.172,0.795,0.0379,139.982,-13.624,1,2,137679,4
6epl39m5BkBmA8GEWWNkdN,goodnight,fleece,0.913,0.633,0.0249,0.184,0.933,0.0387,74.99,-25.712,1,4,145281,4
2Wx57qH034XyagKKogyeOZ,Cozy Café,Lowfi,0.291,0.695,0.302,0.277,0.842,0.0379,80.0,-11.433,0,5,156750,4
73zqoGUMzdvn7g3kiHQmMI,drowsy,fleece,0.829,0.706,0.104,0.105,0.947,0.0559,90.006,-25.57,1,3,162626,4
7l1jlfybSSAGEXpG8GCP7L,the sound of garden,ddc.,0.686,0.578,0.212,0.331,0.953,0.0312,127.996,-17.233,0,1,165277,4
6eNWSThPaPeiPw5lkYjGGs,ripples,sogni,0.862,0.693,0.14,0.285,0.284,0.0491,130.049,-21.602,1,8,124566,4
